Ticker,Company,MarketCap,Revenues_M,Profits_M,ExpectedReturn
WMT,Walmart,0.15038008084610374,1.0,0.15764881013914445,0.09645454399910475
AMZN,Amazon,0.5551577120614244,0.8461780467086842,0.3118241776417806,0.02216419420323862
AAPL,Apple,1.0,0.44452950491311605,1.0000000000000002,0.09220482556301915
UNH,UnitedHealth Group,0.12642024574146776,0.4200677454198434,0.22866830690346723,0.21193553123990405
BRKA,Berkshire Hathaway,0.2559714090276936,0.40509244208605555,0.9920193520375463,0.540969451405857
CVS,CVS Health,0.014229687045443664,0.3910274022882432,0.08355903818719375,0.6037957807859016
XOM,Exxon Mobil,0.13831588443660706,0.36335455184202525,0.3695598238468378,0.34526580199051715
GOOGL,Alphabet,0.6418492965235392,0.28535713162117105,0.7601670560506131,0.12118434808299738
MCK,McKesson,0.014608801904646175,0.22100317753285026,0.034103831124527056,0.21358753223680876
COR,Cencora,0.0058592005492405525,0.19051228541166365,0.015344139599313583,0.16867210238163752
COST,Costco Wholesale,0.09896185807720448,0.1488092116991936,0.06234622779994625,0.03136225776742263
JPM,JPMorgan Chase,0.16249915651143773,0.14280021393290476,0.509551967250398,0.4192092099783444
MSFT,Microsoft,0.9383059165717713,0.08510125108801664,0.7453428990840862,0.059370952285837775
CAH,Cardinal Health,0.0,0.07062302715060248,0.0,0.0
CVX,Chevron,0.07535201822663286,0.062101366443994666,0.21820662848636468,0.36612300755465804
CI,Cigna,0.019968209231082827,0.05017985045670481,0.050685384663096744,0.2573803093664359
F,Ford Motor,0.009513990990282172,0.010174397265014623,0.042239543490396346,0.38582041087900326
BAC,Bank of America,0.085332482891532,0.001199702171838457,0.2714040564847934,0.41203050027529287
GM,General Motors,0.00934907322656705,0.001052885472487608,0.10199102693985569,1.0
ELV,Elevance Health,0.028140458415383887,0.0,0.05919325159716336,0.2199917379995595
